ID,Nosaukums,Latitude,Longitude
1,Beberliņu ūdenskrātuve,56.5642778,21.0190556
2,Papes ezers,56.1897222,21.0473333
3,Liepājas ezers,56.4581667,21.0553333
4,Tosmares ezers,56.578,21.0573889
5,Dubeņu karjera dīķis,56.4903056,21.1862778
6,Jardāns,56.5171389,21.1920833
7,Tāšu ezers,56.6101944,21.2204444
8,Ērgļu dīķis,56.5250278,21.2723889
9,Diekantu dīķis,56.5125,21.2738611
10,Eglīšu dīķis,56.5196667,21.2866667
11,Lielais Bērzu dīķis,56.7005,21.3045
12,Penta dīķis,56.5274722,21.3514167
13,Durbes ezers,56.6157222,21.3591111
14,Rimmas dīķis,56.6586111,21.3598056
15,Mačpors,56.6576389,21.3729444
16,Purva dīķis,56.6074444,21.3934167
17,Buļļu dīķis,56.5880278,21.3986389
18,Vīksnas dīķis,56.6616944,21.4080833
19,Dzēkainis,56.7432222,21.4365556
20,Morķu dīķis,56.5664722,21.4463889
21,Jaunostiņu dīķis,56.6542778,21.4483889
22,Krievpurva dīķis,56.7811389,21.46775
23,Dzintarnieku dīķis,56.8149722,21.4725
24,Tīpors,56.6536667,21.4791944
25,Prūšu ūdenskrātuve,56.4356389,21.4865833
26,Mazdzērves dīķis,56.7760556,21.4908611
27,Dopors,56.67525,21.5021111
28,Bunkas dzirnavezers,56.5015,21.5025556
29,Elku dīķis,56.7912222,21.5033611
30,Lejpors,56.5905833,21.5191111
31,Poļu dīķis,56.75525,21.5234722
32,Lāču dīķis,56.7836667,21.5235833
33,Atgarozas dīķis,56.8018889,21.5318889
34,Plūdākslis,56.6685833,21.5431111
35,Krotes dzirnavu dīķis,56.5480278,21.5504444
36,Zveju dīķis,56.8125556,21.5616667
37,Alsungas dzirnavezers,56.9801389,21.5730556
38,Velekšņu dīķis,56.5418611,21.5743056
39,Alokstes ūdenskrātuve,56.7982778,21.5860556
40,Dobeļdīķis,56.4634722,21.6006111
41,Lažas ūdenskrātuve,56.711,21.6306111
42,Būšnieku ezers,57.4455278,21.6438889
43,Zvirgzdu ezers,56.9346389,21.6485556
44,Ķikuru ezers,56.8010833,21.6603889
45,Mucenieku dīķis,56.6566667,21.6701111
46,Reiņu ezers,56.5480556,21.6720833
47,Vendzavas dzirnavezers,57.16375,21.6768611
48,Kukšezers,56.9568889,21.6808889
49,Aploku dīķis,56.6508611,21.6839722
50,Piņķezers,56.9975,21.6911944
51,Blendienas dīķis,56.6744167,21.6913611
52,Krūzgaļu dīķis,56.6812778,21.7024444
53,Tāšu Padures dzirnavezers,56.5981111,21.7145833
54,Baložu dīķis,56.6506667,21.7266667
55,Sepenes ezers,56.5569444,21.7330278
56,Prāvāju dīķis,56.6928333,21.7371389
57,Kazdangas dzirnavezers,56.7243333,21.7388333
58,Krauzes dīķis,56.6959444,21.7433889
59,Zviedru dīķis,56.6820833,21.7491944
60,Tapiņu dīķis,56.6685,21.7493056
61,Tīdu ezers,56.631,21.75625
62,Tīreļu dīķis,56.5418333,21.7608056
63,Īvandes dzirnavezers,56.9883056,21.7680278
64,Kaners,56.7896667,21.7715556
65,Ilziks,56.6144167,21.7764722
66,Klāņezers,57.4657222,21.7773611
67,Vilgāles ezers,56.8752222,21.8087222
68,Lielais Nabas ezers,57.0700278,21.8112222
69,Rakauska dīķis,56.7975278,21.8191944
70,Kāžezers,57.1675556,21.8391667
71,Briņķu ezers,56.5237778,21.8418611
72,Mazais Nabas ezers,57.067,21.8431111
73,Pižuka dīķis,56.4257778,21.8482778
74,Kalšu ezers,56.3635556,21.8698889
75,Bātas dzirnavu dīķis,56.4466667,21.8909167
76,Āpezers ,56.9264722,21.8910556
77,Zigatezers,57.5547778,21.9013889
78,Makšķerezers,57.5583333,21.9264444
79,Viesdauga,56.4956389,21.9288889
80,Svētes ūdenskrātuve,57.2967778,21.9519167
81,Krievkalnu dīķis,56.5831667,21.9598889
82,Garais ezers,57.5666944,21.961
83,Puzes ezers,57.3328333,21.9628056
84,Blaku dīķi,57.0089444,22.0193889
85,Sipenes dzirnavezers,57.3340833,22.0738889
86,Skarbezers,57.55425,22.0784167
87,Kanavišķu dīķis,56.4548889,22.11875
88,Lakšezers,57.2446389,22.1201667
89,Usmas ezers,57.1864722,22.1411667
90,Slujas ezers,57.0983056,22.1705556
91,Liepas dīķis,56.4818611,22.1759167
92,Ilziķis,57.2612222,22.1795278
93,Zaņas dzirnavu dīķis,56.4556389,22.1829167
94,Tirukšezers,57.2357778,22.1976944
95,Sviriņezers ,57.0159722,22.2081667
96,Mežzīles dzirnavezers,57.0774167,22.2115556
97,Pampāļu dzirnavu dīķis,56.5459722,22.21325
98,Celmu dīķis,56.4629722,22.2171944
99,Veiķenieku ezers,56.7387222,22.2394722
100,Mednieku dīķis,56.4460833,22.2418056
101,Gulbju ezers,57.2135,22.2545556
102,Šķēdes dzirnavezers,56.8921389,22.2554167
103,Dižiere ,57.3214722,22.2626111
104,Segliņu ezers,57.0916944,22.2649444
105,Mežmuižas ezers,57.1251389,22.2752778
106,Pāces dīķis ,57.4881111,22.2760556
107,Seklene ,57.2997222,22.2801389
108,Pāces dzirnavezers,57.49825,22.2802222
109,Dzilonis,57.1230556,22.2826667
110,Mordangas ezers,57.1450833,22.2838889
111,Plocenieku dīķis,56.5821944,22.2873056
112,Gulbis,57.1116111,22.28875
113,Ezerkalna dīķis,56.4598611,22.2891944
114,Kāņezers,57.1462222,22.2919722
115,Groskopu dīķis,56.5775278,22.29225
116,Spīķu ūdenskrātuve,56.8843611,22.2933333
117,Luntes dīķis,56.8261389,22.2958889
118,Lašupes dzirnavu dīķis,56.7089444,22.2962778
119,Kalvenes ezers,57.1591944,22.3005278
120,Rūmikezers,57.1685833,22.3032222
121,Kleinis,57.14825,22.3089722
122,Spāres ezers,57.2173333,22.313
123,Planku dīķis,56.6081667,22.3181389
124,Smilgu dīķis,56.7568611,22.3233056
125,Pakuļu ūdenskrātuve,56.6863611,22.3264444
126,Rupeiku dīķis,56.5821667,22.3282778
127,Stūriņezers,57.3349444,22.3537222
128,Buku dīķis ,56.9655278,22.37025
129,Ezeres dzirnavu dīķis,56.4046667,22.37075
130,Dekšņas dīķis,56.6306667,22.3733611
131,Lapsu dīķis,56.6527222,22.3746944
132,Pluncezers,57.1792778,22.385
133,Ķēniņu dīķis,56.7591389,22.3914167
134,Struņķdīķis,57.3084444,22.3934444
135,Silzemju dīķis,56.6322778,22.3946667
136,Ķēniņu dīķis,56.4590833,22.4096667
137,Kalnimantu dīķis,57.3089444,22.415
138,Kaļķu dīķis,57.5471944,22.4176389
139,Sāmeļu dīķis,56.5938611,22.4257222
140,Odumu dīķis,57.4903889,22.4272222
141,Zutēnu dīķis,56.8549167,22.4490833
142,Berkindīķis,56.8246667,22.4504444
143,Reņģenes dīķis,56.461,22.4741944
144,Dižklajamdīķis,57.4134722,22.4901111
145,Kuļļu dīķis,57.33,22.49475
146,Lainums,56.9511389,22.5031389
147,Saldus ezers,56.6739167,22.5106944
148,Driguļu dīķis,56.5373889,22.51575
149,Vecsatiķu dzirnavu dīķis,56.7932222,22.5376944
150,Brocēnu ezers ,56.6985833,22.553
151,Cieceres ezers,56.6478333,22.5624167
152,Vēderiņu dīķis,56.9575,22.5745833
153,Lielais Lemzeres dīķis,56.5961111,22.57675
154,Purva dīķis,56.9644722,22.5868333
155,Vilkmuižas ezers,57.2518611,22.5875278
156,Ildzis,56.7303333,22.5901667
157,Talsu ezers,57.2428333,22.5959167
158,Zvārdes ezers ,56.5738056,22.6036111
159,Ķirpdīķis,56.9117222,22.6147778
